did,name,family,NumberOfInstances,NumberOfFeatures,NumberOfClasses
44090,california,california,20634.0,9.0,2.0
46808,news_channel,news_channel,20284.0,18.0,6.0
6,letter,letter,20000.0,17.0,26.0
41671,microaggregation2,microaggregation2,20000.0,21.0,5.0
40926,CIFAR_10_small,cifar_small,20000.0,3073.0,10.0
41161,riccardo,riccardo,20000.0,4297.0,2.0
41159,guillermo,guillermo,20000.0,4297.0,2.0
1222,letter-challenge-unlabeled.arff,letter_challenge,20000.0,17.0,3.0
46935,HR_Analytics_Job_Change_of_Data_Scientists,analytics_job,19158.0,13.0,2.0
1120,MagicTelescope,magictelescope,19020.0,12.0,2.0
45558,Pulsar-Dataset-HTRU2,pulsar_htru2,17898.0,9.0,2.0
45024,credit,credit,16714.0,11.0,2.0
44162,compass,compass,16644.0,18.0,2.0
846,elevators,elevators,16599.0,19.0,2.0
42811,PCam16k,pcam16k,16000.0,27649.0,2.0
44226,NewspaperChurn,newspaperchurn,15855.0,19.0,2.0
45936,IndoorScenes,indoorscenes,15620.0,3.0,67.0
41526,test_dataset,test_dataset,15547.0,61.0,2.0
1046,mozilla4,mozilla4,15545.0,6.0,2.0
722,pol,pol,15000.0,49.0,2.0
1471,eeg-eye-state,eeg_eye,14980.0,15.0,2.0
1040,sylva_prior,sylva_prior,14395.0,109.0,2.0
4154,CreditCardSubset,creditcardsubset,14240.0,31.0,2.0
1476,gas-drift,gas_drift,13910.0,129.0,6.0
734,ailerons,ailerons,13750.0,41.0,2.0
41103,STL-10,stl,13000.0,27649.0,10.0
959,nursery,nursery,12960.0,9.0,2.0
46937,in_vehicle_coupon_recommendation,vehicle_coupon,12684.0,25.0,2.0
45060,online_shoppers,online_shoppers,12330.0,18.0,2.0
46689,sst5,sst5,11855.0,2.0,5.0
310,mammography,mammography,11183.0,7.0,2.0
399,ohscal.wc,ohscal,11162.0,11466.0,10.0
4534,PhishingWebsites,phishingwebsites,11055.0,31.0,2.0
46924,E-CommereShippingData,commereshippingdata,10999.0,11.0,2.0
1019,pendigits,pendigits,10992.0,17.0,2.0
1044,eye_movements,eye_movements,10936.0,28.0,3.0
1053,jm1,jm1,10885.0,22.0,2.0
46932,heloc,heloc,10459.0,24.0,2.0
1478,har,har,10299.0,562.0,6.0
46819,WBCAtt,wbcatt,10298.0,12.0,5.0
1459,artificial-characters,artificial_characters,10218.0,8.0,10.0
46282,internet_usage,internet_usage,10108.0,69.0,2.0
43920,kdd_internet_usage,kdd_internet,10108.0,71.0,2.0
46868,Phishing_Legitimate_full,phishing_legitimate,10000.0,49.0,2.0
46911,Bank_Customer_Churn,bank_customer,10000.0,11.0,2.0
41165,robert,robert,10000.0,7201.0,10.0
41163,dilbert,dilbert,10000.0,2001.0,5.0
46298,electrical_grid_stability_simulated_classification,electrical_grid,10000.0,13.0,2.0
375,JapaneseVowels,japanesevowels,9961.0,15.0,9.0
42140,SVHN_small,svhn_small,9927.0,3073.0,10.0
4538,GesturePhaseSegmentationProcessed,gesturephasesegmentationprocessed,9873.0,33.0,5.0
45553,FICO-HELOC-cleaned,fico_heloc,9871.0,24.0,2.0
46281,insurance_company,insurance_company,9822.0,86.0,2.0
46916,coil2000_insurance_policies,coil2000_insurance,9822.0,86.0,2.0
390,new3s.wc,new3s,9558.0,26833.0,44.0
819,delta_elevators,delta_elevators,9517.0,7.0,2.0
1056,mc1,mc1,9466.0,39.0,2.0
41082,USPS,usps,9298.0,257.0,10.0
41972,Indian_pines,indian_pines,9144.0,221.0,8.0
373,UNIX_user_data,unix_user,9100.0,3.0,9.0
923,visualizing_soil,visualizing_soil,8641.0,5.0,2.0
41164,fabert,fabert,8237.0,801.0,7.0
761,cpu_act,cpu_act,8192.0,22.0,2.0
735,cpu_small,cpu_small,8192.0,13.0,2.0
725,bank8FM,bank8fm,8192.0,9.0,2.0
752,puma32H,puma32h,8192.0,33.0,2.0
833,bank32nh,bank32nh,8192.0,33.0,2.0
807,kin8nm,kin8nm,8192.0,9.0,2.0
816,puma8NH,puma8nh,8192.0,9.0,2.0
43922,mushroom,mushroom,8124.0,23.0,2.0
43985,isolet,isolet,7797.0,614.0,26.0
46969,NATICUSdroid,naticusdroid,7491.0,87.0,2.0
1507,twonorm,twonorm,7400.0,21.0,2.0
1496,ringnorm,ringnorm,7400.0,21.0,2.0
42819,OxfordPets,oxfordpets,7349.0,49153.0,37.0
803,delta_ailerons,delta_ailerons,7129.0,6.0,2.0
42178,telco-customer-churn,telco_customer,7043.0,20.0,2.0
46280,blastchar,blastchar,7043.0,20.0,2.0
41026,gisette,gisette,7000.0,5001.0,2.0
46962,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy,6819.0,95.0,2.0
40666,clean2,clean2,6598.0,169.0,2.0
1116,musk,musk,6598.0,168.0,2.0
847,wind,wind,6574.0,15.0,2.0
182,satimage,satimage,6430.0,37.0,6.0
1475,first-order-theorem-proving,first_order,6118.0,52.0,6.0
47152,aztrees4,aztrees4,5956.0,22.0,2.0
47151,aztrees3,aztrees3,5956.0,22.0,2.0
41145,philippine,philippine,5832.0,309.0,2.0
980,optdigits,optdigits,5620.0,65.0,2.0
1069,pc2,pc2,5589.0,37.0,2.0
40499,texture,texture,5500.0,41.0,11.0
30,page-blocks,page_blocks,5473.0,11.0,5.0
1525,wall-robot-navigation,wall_robot,5456.0,3.0,4.0
41142,christine,christine,5418.0,1637.0,2.0
1489,phoneme,phoneme,5404.0,6.0,2.0
1460,banana,banana,5300.0,3.0,2.0
42193,compas-two-years,compas_two,5278.0,14.0,2.0
44124,kdd_ipums_la_97-small,kdd_ipums,5188.0,21.0,2.0
44186,KDDCup09_upselling,kddcup09_upselling,5128.0,50.0,2.0
41146,sylvine,sylvine,5124.0,21.0,2.0
40900,Satellite,satellite,5100.0,37.0,2.0
46806,product_sentiment_machine_hack,product_sentiment,5091.0,5.0,4.0
43607,WMO-Hurricane-Survival-Dataset,wmo_hurricane,5021.0,23.0,2.0
46880,air-quality-and-pollution-assessment,air_quality,5000.0,10.0,4.0
40701,churn,churn,5000.0,21.0,2.0
46372,Multiclass_Classification_for_Corporate_Credit_Ratings,multiclass_classification,5000.0,8.0,10.0
60,waveform-5000,waveform_5000,5000.0,41.0,3.0
44037,rl,rl,4970.0,13.0,2.0
43892,national-longitudinal-survey-binary,national_longitudinal,4908.0,17.0,2.0
40983,wilt,wilt,4839.0,6.0,2.0
46925,Employee,employee,4653.0,9.0,2.0
44095,spambase_reproduced,spambase_reproduced,4601.0,58.0,2.0
44,spambase,spambase,4601.0,58.0,2.0
47153,spam,spam,4601.0,58.0,2.0
1037,ada_prior,ada_prior,4562.0,15.0,2.0
46960,students_dropout_and_academic_success,students_dropout,4424.0,37.0,3.0
43149,StackOverflow-polarity,stackoverflow_polarity,4423.0,2.0,3.0
43925,eucalyptus,eucalyptus,4331.0,8.0,4.0
1039,hiva_agnostic,hiva_agnostic,4229.0,1618.0,2.0
720,abalone,abalone,4177.0,9.0,2.0
41156,ada,ada,4147.0,49.0,2.0
728,analcatdata_supreme,analcatdata_supreme,4052.0,8.0,2.0
43051,art_daily_nojump4,art_daily,4032.0,3.0,2.0
42810,PCam,pcam,4000.0,27649.0,2.0
46578,tiniest-imagenet-200,tiniest_imagenet,4000.0,2.0,200.0
871,pollen,pollen,3848.0,6.0,2.0
40596,slashdot,slashdot,3782.0,1101.0,2.0
40497,thyroid-ann,thyroid_ann,3772.0,22.0,3.0
41946,Sick_numeric,sick_numeric,3772.0,30.0,2.0
40708,allrep,allrep,3772.0,30.0,4.0
40713,dis,dis,3772.0,30.0,2.0
46912,Bioresponse,bioresponse,3751.0,1777.0,2.0
46800,AVIDa-SARS-CoV-2,avida_sars,3733.0,6.0,2.0
40910,Speech,speech,3686.0,401.0,2.0
46764,football-player-position,football_player,3611.0,12.0,4.0
1042,gina_prior,gina_prior,3468.0,785.0,2.0
1041,gina_prior2,gina_prior2,3468.0,785.0,10.0
1038,gina_agnostic,gina_agnostic,3468.0,971.0,2.0
42334,digits_wrote,digits_wrote,3468.0,785.0,2.0
42882,dgf_test,dgf,3415.0,5.0,2.0
44232,UCI_churn,uci_churn,3333.0,21.0,2.0
40978,Internet-Advertisements,internet_advertisements,3279.0,1559.0,2.0
396,la1s.wc,la1s,3204.0,13196.0,6.0
40678,led7,led7,3200.0,8.0,10.0
40677,led24,led24,3200.0,25.0,10.0
3,kr-vs-kp,kr-vs-kp,3196.0,37.0,2.0
953,splice,splice,3190.0,61.0,2.0
40670,dna,dna,3186.0,181.0,3.0
46737,agriculture_dataset_karnataka,agriculture_karnataka,3158.0,12.0,13.0
41158,gina,gina,3153.0,971.0,2.0
41144,madeline,madeline,3140.0,260.0,2.0
737,space_ga,space,3107.0,7.0,2.0
45059,sick,sick,3103.0,23.0,2.0
393,la2s.wc,la2s,3075.0,12433.0,6.0
41143,jasmine,jasmine,2984.0,145.0,2.0
40476,thyroid-allhypo,thyroid_allhypo,2800.0,27.0,5.0
40478,thyroid-dis,thyroid_dis,2800.0,27.0,5.0
40477,thyroid-allrep,thyroid_allrep,2800.0,27.0,5.0
40475,thyroid-allhyper,thyroid_allhyper,2800.0,27.0,5.0
40474,thyroid-allbp,thyroid_allbp,2800.0,27.0,5.0
42530,Midwest_Survey,midwest_survey,2778.0,28.0,10.0
1485,madelon,madelon,2600.0,501.0,2.0
46956,seismic-bumps,seismic_bumps,2584.0,16.0,2.0
43980,wine,wine,2554.0,12.0,2.0
1487,ozone-level-8hr,ozone_level,2534.0,73.0,2.0
46564,Apple_Stock_Price_Trends_Classification,apple_stock,2516.0,23.0,3.0
46951,Pumpkin_Seeds,pumpkin_seeds,2500.0,13.0,2.0
1548,autoUniv-au4-2500,autouniv_au4,2500.0,101.0,3.0
389,fbis.wc,fbis,2463.0,2001.0,17.0
316,yeast_ml8,yeast_ml8,2417.0,117.0,2.0
40597,yeast,yeast,2417.0,117.0,2.0
312,scene,scene,2407.0,300.0,2.0
46930,hazelnut-spread-contaminant-detection,hazelnut_spread,2400.0,31.0,2.0
45968,BraidFlowSessionLevel,braidflowsessionlevel,2364.0,124.0,3.0
36,segment,segment,2310.0,20.0,7.0
46940,Marketing_Campaign,marketing_campaign,2240.0,26.0,2.0
40704,Titanic,titanic,2201.0,4.0,2.0
772,quake,quake,2178.0,4.0,2.0
46863,Fetal_cardiotocography_dataset,fetal_cardiotocography,2126.0,37.0,10.0
1560,cardiotocography,cardiotocography,2126.0,36.0,3.0
46597,Estimation_of_Obesity_Levels,estimation_obesity,2111.0,17.0,7.0
1067,kc1,kc1,2109.0,22.0,2.0
914,balloon,balloon,2001.0,2.0,2.0
44431,jannis_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,jannis_nrows,2000.0,55.0,2.0
44415,MiniBooNE_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,miniboone_nrows,2000.0,51.0,2.0
1020,mfeat-karhunen,mfeat_karhunen,2000.0,65.0,2.0
44400,MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,magictelescope_nrows,2000.0,11.0,2.0
44460,compass_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,compass_nrows,2000.0,18.0,2.0
12,mfeat-factors,mfeat_factors,2000.0,217.0,10.0
1022,mfeat-pixel,mfeat_pixel,2000.0,241.0,2.0
44433,electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,electricity_nrows,2000.0,9.0,2.0
44443,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,covertype_nrows,2000.0,55.0,2.0
18,mfeat-morphological,mfeat_morphological,2000.0,7.0,10.0
44723,adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,adult_nrows,2000.0,15.0,2.0
44685,christine_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,christine_nrows,2000.0,101.0,2.0
44693,Satellite_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,satellite_nrows,2000.0,37.0,2.0
44699,Fashion-MNIST_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,fashion_mnist,2000.0,101.0,10.0
44703,connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,connect_nrows,2000.0,43.0,3.0
995,mfeat-zernike,mfeat_zernike,2000.0,48.0,2.0
44668,GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,gesturephasesegmentationprocessed_nrows,2000.0,33.0,5.0
971,mfeat-fourier,mfeat_fourier,2000.0,77.0,2.0
44713,nomao_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,nomao_nrows,2000.0,101.0,2.0
44677,PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,phishingwebsites_nrows,2000.0,31.0,2.0
44678,sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,sylvine_nrows,2000.0,21.0,2.0
44645,kr-vs-kp_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,nrows_2000,2000.0,37.0,2.0
44661,churn_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,churn_nrows,2000.0,21.0,2.0
44657,Bioresponse_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,bioresponse_nrows,2000.0,101.0,2.0
44629,kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,kc1_nrows,2000.0,22.0,2.0
44740,robert_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,robert_nrows,2000.0,101.0,10.0
44748,guillermo_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,guillermo_nrows,2000.0,101.0,2.0
44566,philippine_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,philippine_nrows,2000.0,101.0,2.0
44568,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,ada_nrows,2000.0,49.0,2.0
44633,segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,segment_nrows,2000.0,17.0,7.0
44558,madeline_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,madeline_nrows,2000.0,101.0,2.0
44638,dna_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dna_nrows,2000.0,101.0,3.0
44527,jasmine_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,jasmine_nrows,2000.0,101.0,2.0
44528,airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,airlines_nrows,2000.0,8.0,2.0
40594,reuters,reuters,2000.0,250.0,2.0
44544,gina_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,gina_nrows,2000.0,101.0,2.0
44513,dilbert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dilbert_nrows,2000.0,101.0,5.0
44419,Higgs_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,higgs_nrows,2000.0,25.0,2.0
44454,road-safety_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,road_safety,2000.0,33.0,2.0
40592,image,image,2000.0,140.0,2.0
44518,fabert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,fabert_nrows,2000.0,101.0,7.0
44777,sf-police-incidents_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,police_incidents,2000.0,9.0,2.0
46752,student_lifestyle_dataset,student_lifestyle,2000.0,8.0,3.0
44733,volkert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,volkert_nrows,2000.0,101.0,10.0
44756,riccardo_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,riccardo_nrows,2000.0,101.0,2.0
44488,wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,wilt_nrows,2000.0,6.0,2.0
44493,numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,numerai28_nrows,2000.0,22.0,2.0
44347,credit_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,credit_nrows,2000.0,11.0,2.0
44227,South_Asian_Churn_dataset,south_asian,2000.0,14.0,2.0
44362,california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,california_nrows,2000.0,9.0,2.0
44367,wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,wine_nrows,2000.0,12.0,2.0
44407,phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,phoneme_nrows,2000.0,6.0,2.0
44382,pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,pol_nrows,2000.0,27.0,2.0
46944,Mobile_Price,mobile_price,2000.0,21.0,4.0
44504,steel-plates-fault_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,steel_plates,1941.0,28.0,7.0
44621,car_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,car_nrows,1728.0,7.0,4.0
40664,car-evaluation,car_evaluation,1728.0,22.0,4.0
991,car,car,1728.0,7.0,2.0
46938,Is-this-a-good-customer,this_good,1723.0,14.0,2.0
40590,enron,enron,1702.0,1054.0,2.0
45648,MIC,mic,1649.0,105.0,2.0
40647,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,gametes_epistasis,1600.0,21.0,2.0
40649,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,gametes_heterogeneity,1600.0,21.0,2.0
1501,semeion,semeion,1593.0,257.0,10.0
1050,pc3,pc3,1563.0,38.0,2.0
1146,OVA_Prostate,ova_prostate,1545.0,10937.0,2.0
1130,OVA_Lung,ova_lung,1545.0,10936.0,2.0
1139,OVA_Omentum,ova_omentum,1545.0,10936.0,2.0
1161,OVA_Colon,ova_colon,1545.0,10936.0,2.0
1138,OVA_Uterus,ova_uterus,1545.0,10936.0,2.0
1142,OVA_Endometrium,ova_endometrium,1545.0,10936.0,2.0
1134,OVA_Kidney,ova_kidney,1545.0,10936.0,2.0
1166,OVA_Ovary,ova_ovary,1545.0,10936.0,2.0
1128,OVA_Breast,ova_breast,1545.0,10936.0,2.0
46758,PostPartum_Depression,postpartum_depression,1503.0,11.0,2.0
44480,amazon-commerce-reviews_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,amazon_commerce,1500.0,101.0,50.0
46927,Fitness_Club,fitness_club,1500.0,7.0,2.0
47150,CanadaFiresD,canadafiresd,1491.0,47.0,2.0
983,cmc,cmc,1473.0,10.0,2.0
44614,cmc_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,cmc_nrows,1473.0,10.0,3.0
43896,ibm-employee-attrition,ibm_employee,1470.0,35.0,2.0
44609,pc4_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,pc4_nrows,1458.0,38.0,2.0
1049,pc4,pc4,1458.0,38.0,2.0
46876,depression_2020,depression,1429.0,21.0,2.0
46782,binary_alpha_digits,binary_alpha,1404.0,321.0,36.0
46851,hepatitis_c_virus_hcv_for_egyptian_patients,hepatitis_virus,1385.0,29.0,4.0
1462,banknote-authentication,banknote_authentication,1372.0,5.0,2.0
46963,website_phishing,website_phishing,1353.0,10.0,3.0
966,analcatdata_halloffame,analcatdata_halloffame,1340.0,17.0,2.0
185,baseball,baseball,1340.0,17.0,3.0
40680,mofn-3-7-10,mofn,1324.0,11.0,2.0
41705,ASP-POTASSCO-classification,asp_potassco,1294.0,143.0,11.0
1566,hill-valley,hill_valley,1212.0,101.0,2.0
897,colleges_aaup,colleges_aaup,1161.0,16.0,2.0
934,socmob,socmob,1156.0,6.0,2.0
4137,Dorothea,dorothea,1150.0,100001.0,2.0
46422,Credit-Risk-Classification-Dataset,credit_risk,1125.0,43.0,2.0
40706,parity5_plus_5,parity5_plus,1124.0,11.0,2.0
1068,pc1,pc1,1109.0,22.0,2.0
1552,autoUniv-au7-1100,autouniv_au7,1100.0,13.0,5.0
44604,cnae-9_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,cnae_nrows,1080.0,101.0,9.0
1468,cnae-9,cnae,1080.0,857.0,9.0
1453,PieChart3,piechart3,1077.0,38.0,2.0
46184,Flare,flare,1066.0,12.0,6.0
40687,solar-flare,solar_flare,1066.0,13.0,6.0
44602,qsar-biodeg_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,qsar_biodeg,1055.0,42.0,2.0
45077,qsar,qsar,1055.0,41.0,2.0
401,oh10.wc,oh10,1050.0,3239.0,10.0
1444,PizzaCutter3,pizzacutter3,1043.0,38.0,2.0
679,rmftsa_sleepdata,rmftsa_sleepdata,1024.0,3.0,4.0
46842,maternal_health_risk,maternal_health,1014.0,7.0,3.0
392,oh0.wc,oh0,1003.0,3183.0,10.0
42809,kits,kits,1000.0,27649.0,2.0
910,fri_c1_1000_10,fri_1000,1000.0,11.0,2.0
45604,dummy,dummy,1000.0,7.0,2.0
45748,StudentsPerformance,studentsperformance,1000.0,8.0,2.0
46562,German-Credit-Data-Creditability-Preprocessed-Dataset,german_credit,1000.0,34.0,2.0
1555,autoUniv-au6-1000,autouniv_au6,1000.0,41.0,8.0
46416,Creditability-German-Credit-Data,creditability_german,1000.0,21.0,2.0
43097,students_scores,students_scores,1000.0,8.0,2.0
43255,1StudentPerfromance,1studentperfromance,1000.0,8.0,2.0
46502,Credit_Approval_Classification,credit_approval,1000.0,51.0,2.0
44098,credit-g_reproduced_1,credit_reproduced,1000.0,21.0,2.0
44097,credit-g_copy,credit_copy,1000.0,21.0,2.0
1547,autoUniv-au1-1000,autouniv_au1,1000.0,21.0,2.0
1016,vowel,vowel,990.0,14.0,2.0
40693,xd6,xd6,973.0,10.0,2.0
45557,Mammographic-Mass-Data-Set,mammographic_mass,961.0,5.0,2.0
40705,tokyo1,tokyo1,959.0,45.0,2.0
50,tic-tac-toe,tic_tac,958.0,10.0,2.0
45545,Tour-and-Travels-Customer-Churn-Prediction,tour_and,954.0,7.0,2.0
841,stock,stock,950.0,10.0,2.0
1233,eating,eating,945.0,6374.0,7.0
311,oil_spill,oil_spill,937.0,50.0,2.0
394,oh5.wc,oh5,918.0,3013.0,10.0
386,oh15.wc,oh15,913.0,3101.0,10.0
45939,132,132,902.0,4.0,2.0
43941,anneal,anneal,898.0,39.0,2.0
44555,vehicle_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,vehicle_nrows,846.0,19.0,4.0
44153,vehicle_reproduced,vehicle_reproduced,846.0,19.0,4.0
