seed,config,fold,did,name,domain,true_best,predicted,hit_best,oracle_accuracy,chosen_accuracy,regret,zero_regret,within_1pp
42,baseline_stats,1,734,ailerons,other,LogisticRegression,LogisticRegression,1,0.8796363636363637,0.8796363636363637,0.0,1.0,1.0
42,baseline_stats,1,1019,pendigits,image,LogisticRegression,LogisticRegression,1,0.9941775999596144,0.9941775999596144,0.0,1.0,1.0
42,baseline_stats,1,46932,heloc,finance,LogisticRegression,DecisionTree,0,0.7171799289132246,0.6244382507934854,0.09274167811973921,0.0,0.0
42,baseline_stats,1,1478,har,sensor_signal,LogisticRegression,LogisticRegression,1,0.9847561498889554,0.9847561498889554,0.0,1.0,1.0
42,baseline_stats,1,46298,electrical_grid_stability_simulated_classification,sensor_signal,MLP,DecisionTree,0,0.9609,0.8432999999999999,0.11760000000000004,0.0,0.0
42,baseline_stats,1,45553,FICO-HELOC-cleaned,finance,SVM,DecisionTree,0,0.7334603003603812,0.6374238261962474,0.09603647416413386,0.0,0.0
42,baseline_stats,1,923,visualizing_soil,other,MLP,DecisionTree,0,1.0,0.9997685185185186,0.00023148148148144365,0.0,1.0
42,baseline_stats,1,41164,fabert,health,SVM,LogisticRegression,0,0.673666153818947,0.6440473558868435,0.029618797932103536,0.0,0.0
42,baseline_stats,1,847,wind,sensor_signal,MLP,LogisticRegression,0,0.8609667170165112,0.8533630802530224,0.007603636763488741,0.0,1.0
42,baseline_stats,1,980,optdigits,image,MLP,DecisionTree,0,0.9951957295373666,0.9715302491103202,0.023665480427046415,0.0,0.0
42,baseline_stats,1,30,page-blocks,text,MLP,LogisticRegression,0,0.9727765395306904,0.9594386984214436,0.01333784110924685,0.0,0.0
42,baseline_stats,1,46880,air-quality-and-pollution-assessment,health,MLP,LogisticRegression,0,0.9454,0.9412,0.0041999999999999815,0.0,1.0
42,baseline_stats,1,40983,wilt,biology,MLP,LogisticRegression,0,0.9853278009008009,0.956810276308255,0.028517524592545862,0.0,0.0
42,baseline_stats,1,728,analcatdata_supreme,other,DecisionTree,LogisticRegression,0,0.9911156779467508,0.9891397603933568,0.001975917553393991,0.0,1.0
42,baseline_stats,1,46800,AVIDa-SARS-CoV-2,biology,KNN,LogisticRegression,0,0.8015001920102213,0.58237812734405,0.21912206466617123,0.0,0.0
42,baseline_stats,1,40910,Speech,other,MLP,MLP,1,0.9837229227109096,0.9837229227109096,0.0,1.0,1.0
42,baseline_stats,1,1042,gina_prior,image,MLP,LogisticRegression,0,0.9483833809482224,0.8448623742571868,0.10352100669103559,0.0,0.0
42,baseline_stats,1,1041,gina_prior2,image,SVM,LogisticRegression,0,0.915225120700625,0.8788926731289844,0.03633244757164056,0.0,0.0
42,baseline_stats,1,42334,digits_wrote,image,MLP,LogisticRegression,0,0.9483833809482224,0.8448623742571868,0.10352100669103559,0.0,0.0
42,baseline_stats,1,41158,gina,biology,MLP,MLP,1,0.9232450381103312,0.9232450381103312,0.0,1.0,1.0
42,baseline_stats,1,41143,jasmine,health,SVM,LogisticRegression,0,0.7861887738468629,0.781163086124133,0.005025687722729932,0.0,1.0
42,baseline_stats,1,1485,madelon,education,DecisionTree,DecisionTree,1,0.7446153846153847,0.7446153846153847,0.0,1.0,1.0
42,baseline_stats,1,46564,Apple_Stock_Price_Trends_Classification,finance,LogisticRegression,LogisticRegression,1,0.3907065543248446,0.3907065543248446,0.0,1.0,1.0
42,baseline_stats,1,1548,autoUniv-au4-2500,biology,DecisionTree,SVM,0,0.5748,0.4692,0.10559999999999997,0.0,0.0
42,baseline_stats,1,45968,BraidFlowSessionLevel,text,DecisionTree,LogisticRegression,0,1.0,0.9995771670190274,0.00042283298097256505,0.0,1.0
42,baseline_stats,1,914,balloon,other,SVM,LogisticRegression,0,0.8390798004987531,0.8280798004987531,0.01100000000000001,0.0,0.0
42,baseline_stats,1,44713,nomao_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,LogisticRegression,MLP,0,0.9355,0.546,0.38949999999999996,0.0,0.0
42,baseline_stats,1,44740,robert_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,SVM,LogisticRegression,0,0.335,0.279,0.055999999999999994,0.0,0.0
42,baseline_stats,1,44527,jasmine_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,SVM,MLP,0,0.7825000000000001,0.7415,0.041000000000000036,0.0,0.0
42,baseline_stats,1,44544,gina_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,MLP,1,0.8495000000000001,0.8495000000000001,0.0,1.0,1.0
42,baseline_stats,1,44454,road-safety_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,MLP,1,0.709,0.709,0.0,1.0,1.0
42,baseline_stats,1,44733,volkert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,LogisticRegression,0,0.517,0.5135000000000001,0.0034999999999999476,0.0,1.0
42,baseline_stats,1,44488,wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,LogisticRegression,0,0.978,0.9515,0.026499999999999968,0.0,0.0
42,baseline_stats,1,44382,pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,DecisionTree,0,0.976,0.9605,0.015499999999999958,0.0,0.0
42,baseline_stats,1,1146,OVA_Prostate,biology,LogisticRegression,LogisticRegression,1,0.9967637540453074,0.9967637540453074,0.0,1.0,1.0
42,baseline_stats,1,1130,OVA_Lung,biology,LogisticRegression,LogisticRegression,1,0.9818770226537218,0.9818770226537218,0.0,1.0,1.0
42,baseline_stats,1,1139,OVA_Omentum,biology,Perceptron,LogisticRegression,0,0.9553398058252428,0.9508090614886732,0.0045307443365696365,0.0,1.0
42,baseline_stats,1,1161,OVA_Colon,biology,LogisticRegression,LogisticRegression,1,0.9663430420711976,0.9663430420711976,0.0,1.0,1.0
42,baseline_stats,1,1138,OVA_Uterus,biology,LogisticRegression,LogisticRegression,1,0.945631067961165,0.945631067961165,0.0,1.0,1.0
42,baseline_stats,1,1142,OVA_Endometrium,biology,LogisticRegression,LogisticRegression,1,0.9631067961165048,0.9631067961165048,0.0,1.0,1.0
42,baseline_stats,1,1134,OVA_Kidney,biology,Perceptron,LogisticRegression,0,0.9870550161812296,0.9864077669902912,0.0006472491909383926,0.0,1.0
42,baseline_stats,1,1166,OVA_Ovary,biology,Perceptron,LogisticRegression,0,0.916504854368932,0.9158576051779936,0.0006472491909383926,0.0,1.0
42,baseline_stats,1,1128,OVA_Breast,biology,LogisticRegression,LogisticRegression,1,0.9689320388349516,0.9689320388349516,0.0,1.0,1.0
42,baseline_stats,1,46782,binary_alpha_digits,image,SVM,SVM,1,0.7435917641077784,0.7435917641077784,0.0,1.0,1.0
42,baseline_stats,1,1566,hill-valley,other,LogisticRegression,LogisticRegression,1,0.6683229602421521,0.6683229602421521,0.0,1.0,1.0
42,baseline_stats,1,1468,cnae-9,text,MLP,LogisticRegression,0,0.9425925925925924,0.9416666666666668,0.0009259259259256636,0.0,1.0
42,baseline_stats,1,46184,Flare,other,LogisticRegression,LogisticRegression,1,0.760782765126585,0.760782765126585,0.0,1.0,1.0
42,baseline_stats,1,50,tic-tac-toe,other,MLP,DecisionTree,0,0.924825479930192,0.8810100349040141,0.04381544502617796,0.0,0.0
42,baseline_stats,1,45545,Tour-and-Travels-Customer-Churn-Prediction,social,DecisionTree,SVM,0,0.8962248553320473,0.8155084045191513,0.08071645081289602,0.0,0.0
42,baseline_stats,1,43941,anneal,other,DecisionTree,LogisticRegression,0,0.992203600248293,0.9821787709497206,0.010024829298572402,0.0,0.0
42,baseline_stats,1,795,disclosure_x_tampered,other,LogisticRegression,KNN,0,0.5423558897243107,0.534609250398724,0.007746639325586724,0.0,1.0
42,baseline_stats,1,931,disclosure_z,other,SVM,KNN,0,0.5664388243335612,0.4863750284802915,0.08006379585326967,0.0,0.0
42,baseline_stats,1,827,disclosure_x_noise,other,LogisticRegression,KNN,0,0.5513898382319435,0.5256094782410571,0.02578035999088646,0.0,0.0
42,baseline_stats,1,774,disclosure_x_bias,other,MLP,KNN,0,0.5603668261562998,0.4985304169514696,0.061836409204830245,0.0,0.0
42,baseline_stats,1,1145,AP_Breast_Colon,biology,LogisticRegression,LogisticRegression,1,0.9619047619047618,0.9619047619047618,0.0,1.0,1.0
42,baseline_stats,1,1158,AP_Breast_Kidney,biology,LogisticRegression,LogisticRegression,1,0.9768319559228652,0.9768319559228652,0.0,1.0,1.0
42,baseline_stats,1,947,arsenic-male-bladder,other,MLP,LogisticRegression,0,0.978523166023166,0.9749517374517376,0.0035714285714284477,0.0,1.0
42,baseline_stats,1,949,arsenic-female-bladder,other,SVM,SVM,1,0.8693854568854569,0.8693854568854569,0.0,1.0,1.0
42,baseline_stats,1,1137,AP_Colon_Kidney,biology,Perceptron,LogisticRegression,0,0.9798498748957464,0.979833194328607,1.668056713932664e-05,0.0,1.0
42,baseline_stats,1,1165,AP_Breast_Ovary,biology,LogisticRegression,LogisticRegression,1,0.9741930003397894,0.9741930003397894,0.0,1.0,1.0
42,baseline_stats,1,40690,threeOf9,other,SVM,DecisionTree,0,0.9941366837997336,0.9883114410812868,0.005825242718446866,0.0,1.0
42,baseline_stats,1,1153,AP_Colon_Ovary,biology,Perceptron,LogisticRegression,0,0.9400987972508592,0.9318084192439862,0.008290378006873045,0.0,1.0
42,baseline_stats,1,1150,AP_Breast_Lung,biology,Perceptron,LogisticRegression,0,0.948936170212766,0.9446808510638296,0.004255319148936398,0.0,1.0
42,baseline_stats,1,1148,AP_Breast_Uterus,biology,Perceptron,LogisticRegression,0,0.96371539693434,0.9572409059711736,0.006474490963166435,0.0,1.0
42,baseline_stats,1,1149,AP_Ovary_Kidney,biology,LogisticRegression,LogisticRegression,1,0.980315336837076,0.980315336837076,0.0,1.0,1.0
42,baseline_stats,1,1127,AP_Breast_Omentum,biology,LogisticRegression,LogisticRegression,1,0.9667226890756302,0.9667226890756302,0.0,1.0,1.0
42,baseline_stats,1,1122,AP_Breast_Prostate,biology,DecisionTree,LogisticRegression,0,0.9903320599471056,0.9903320599471056,0.0,1.0,1.0
42,baseline_stats,1,1126,AP_Colon_Lung,biology,LogisticRegression,LogisticRegression,1,0.958830443726124,0.958830443726124,0.0,1.0,1.0
42,baseline_stats,1,1160,AP_Colon_Uterus,biology,Perceptron,LogisticRegression,0,0.946341463414634,0.94390243902439,0.0024390243902440156,0.0,1.0
42,baseline_stats,1,1123,AP_Endometrium_Breast,biology,LogisticRegression,LogisticRegression,1,0.9851851851851852,0.9851851851851852,0.0,1.0,1.0
42,baseline_stats,1,40663,calendarDOW,other,DecisionTree,LogisticRegression,0,0.6115189873417722,0.5690506329113925,0.04246835443037977,0.0,0.0
42,baseline_stats,1,1163,AP_Lung_Kidney,biology,LogisticRegression,LogisticRegression,1,0.9715617715617716,0.9715617715617716,0.0,1.0,1.0
42,baseline_stats,1,1129,AP_Uterus_Kidney,biology,LogisticRegression,LogisticRegression,1,0.9791182501708816,0.9791182501708816,0.0,1.0,1.0
42,baseline_stats,1,1010,dermatology,health,SVM,MLP,0,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,984,analcatdata_draft,other,SVM,SVM,1,0.9125879303961496,0.9125879303961496,0.0,1.0,1.0
42,baseline_stats,1,1143,AP_Colon_Omentum,biology,LogisticRegression,LogisticRegression,1,0.9313165905631658,0.9313165905631658,0.0,1.0,1.0
42,baseline_stats,1,1135,AP_Colon_Prostate,biology,DecisionTree,LogisticRegression,0,0.9859154929577464,0.9830985915492958,0.0028169014084505895,0.0,1.0
42,baseline_stats,1,59,ionosphere,sensor_signal,SVM,MLP,0,0.9372635814889336,0.9286116700201208,0.008651911468812834,0.0,1.0
42,baseline_stats,1,337,SPECTF,health,DecisionTree,LogisticRegression,0,0.8481987577639751,0.8195031055900621,0.02869565217391301,0.0,0.0
42,baseline_stats,1,1133,AP_Endometrium_Colon,biology,LogisticRegression,LogisticRegression,1,0.9739958592132504,0.9739958592132504,0.0,1.0,1.0
42,baseline_stats,1,1147,AP_Omentum_Kidney,biology,Perceptron,LogisticRegression,0,0.9762510974539068,0.9762071992976296,4.389815627725557e-05,0.0,1.0
42,baseline_stats,1,1011,ecoli,biology,KNN,MLP,0,0.9702809482001756,0.96729587357331,0.0029850746268655914,0.0,1.0
42,baseline_stats,1,1144,AP_Prostate_Kidney,biology,LogisticRegression,LogisticRegression,1,0.990909090909091,0.990909090909091,0.0,1.0,1.0
42,baseline_stats,1,1140,AP_Ovary_Lung,biology,Perceptron,LogisticRegression,0,0.944471153846154,0.9414423076923076,0.003028846153846354,0.0,1.0
42,baseline_stats,1,925,visualizing_galaxy,other,MLP,LogisticRegression,0,0.9628365384615384,0.9566826923076924,0.006153846153845954,0.0,1.0
42,baseline_stats,1,1162,AP_Ovary_Uterus,biology,LogisticRegression,LogisticRegression,1,0.8942307692307694,0.8942307692307694,0.0,1.0,1.0
42,baseline_stats,1,1157,AP_Endometrium_Kidney,biology,LogisticRegression,LogisticRegression,1,0.9875480769230768,0.9875480769230768,0.0,1.0,1.0
42,baseline_stats,1,915,plasma_retinol,other,LogisticRegression,LogisticRegression,1,0.6031746031746033,0.6031746031746033,0.0,1.0,1.0
42,baseline_stats,1,1121,badges2,other,DecisionTree,LogisticRegression,0,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,13,breast-cancer,health,SVM,SVM,1,0.7448275862068966,0.7448275862068966,0.0,1.0,1.0
42,baseline_stats,1,844,breastTumor,other,SVM,SVM,1,0.6012704174228676,0.6012704174228676,0.0,1.0,1.0
42,baseline_stats,1,1156,AP_Omentum_Ovary,biology,LogisticRegression,LogisticRegression,1,0.7854545454545455,0.7854545454545455,0.0,1.0,1.0
42,baseline_stats,1,1152,AP_Prostate_Ovary,biology,LogisticRegression,LogisticRegression,1,0.9851851851851852,0.9851851851851852,0.0,1.0,1.0
42,baseline_stats,1,811,rmftsa_ctoarrivals,other,KNN,KNN,1,0.928156748911466,0.928156748911466,0.0,1.0,1.0
42,baseline_stats,1,1159,AP_Endometrium_Ovary,biology,LogisticRegression,LogisticRegression,1,0.9304675716440424,0.9304675716440424,0.0,1.0,1.0
42,baseline_stats,1,1136,AP_Lung_Uterus,biology,DecisionTree,LogisticRegression,0,0.9399999999999998,0.932,0.007999999999999785,0.0,1.0
42,baseline_stats,1,1412,lungcancer_GSE31210,biology,KNN,LogisticRegression,0,0.884927536231884,0.8583574879227054,0.02657004830917864,0.0,0.0
42,baseline_stats,1,996,prnn_fglass,other,DecisionTree,MLP,0,0.765891472868217,0.6448504983388704,0.12104097452934659,0.0,0.0
42,baseline_stats,1,1005,glass,other,KNN,MLP,0,0.7617940199335548,0.6448504983388704,0.11694352159468435,0.0,0.0
42,baseline_stats,1,1132,AP_Omentum_Lung,biology,LogisticRegression,LogisticRegression,1,0.9110975609756096,0.9110975609756096,0.0,1.0,1.0
42,baseline_stats,1,1124,AP_Omentum_Uterus,biology,LogisticRegression,LogisticRegression,1,0.9103658536585366,0.9103658536585366,0.0,1.0,1.0
42,baseline_stats,1,46602,Predicting_Risk_Factors_of_Chronic_Kidney_Disease,health,DecisionTree,DecisionTree,1,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,2,46560,dataset_credit_score,finance,DecisionTree,LogisticRegression,0,0.65206,0.59228,0.059779999999999944,0.0,0.0
42,baseline_stats,2,151,electricity,sensor_signal,DecisionTree,DecisionTree,1,0.886895354480918,0.886895354480918,0.0,1.0,1.0
42,baseline_stats,2,41762,FOREX_audsgd-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5067883628066172,0.5067883628066172,0.0,1.0,1.0
42,baseline_stats,2,41758,FOREX_eursgd-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5251568739304051,0.5251568739304051,0.0,1.0,1.0
42,baseline_stats,2,41763,FOREX_audcad-hour-High,finance,LogisticRegression,LogisticRegression,1,0.6952880775812893,0.6952880775812893,0.0,1.0,1.0
42,baseline_stats,2,41727,FOREX_usdcad-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.503685111237878,0.503685111237878,0.0,1.0,1.0
42,baseline_stats,2,41734,FOREX_eurpln-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5383456930975472,0.5383456930975472,0.0,1.0,1.0
42,baseline_stats,2,41715,FOREX_eurhuf-hour-High,finance,LogisticRegression,DecisionTree,0,0.6424643468339989,0.5879064460924129,0.05455790074158595,0.0,0.0
42,baseline_stats,2,41723,FOREX_cadchf-hour-High,finance,LogisticRegression,DecisionTree,0,0.6481232173417,0.5155048488305761,0.13261836851112385,0.0,0.0
42,baseline_stats,2,41709,FOREX_audchf-hour-High,finance,LogisticRegression,DecisionTree,0,0.6634569309754708,0.5039132915002852,0.15954363947518557,0.0,0.0
42,baseline_stats,2,41718,FOREX_audjpy-hour-High,finance,LogisticRegression,DecisionTree,0,0.6969537934968625,0.5167826583000571,0.1801711351968054,0.0,0.0
42,baseline_stats,2,41712,FOREX_eurcad-hour-High,finance,LogisticRegression,DecisionTree,0,0.6989161437535654,0.5077010838562465,0.1912150598973189,0.0,0.0
42,baseline_stats,2,41804,FOREX_gbpusd-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5139304050199658,0.5139304050199658,0.0,1.0,1.0
42,baseline_stats,2,41799,FOREX_eurhkd-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5182430119794639,0.5182430119794639,0.0,1.0,1.0
42,baseline_stats,2,41777,FOREX_eurjpy-hour-High,finance,LogisticRegression,LogisticRegression,1,0.6801369081574444,0.6801369081574444,0.0,1.0,1.0
42,baseline_stats,2,41779,FOREX_eursek-hour-High,finance,LogisticRegression,LogisticRegression,1,0.6780604677695379,0.6780604677695379,0.0,1.0,1.0
42,baseline_stats,2,41768,FOREX_eurnok-hour-High,finance,LogisticRegression,DecisionTree,0,0.6499714774671991,0.5108271534512265,0.13914432401597254,0.0,0.0
42,baseline_stats,2,41773,FOREX_eurtry-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5048260125499144,0.5048260125499144,0.0,1.0,1.0
42,baseline_stats,2,41780,FOREX_usdchf-hour-High,finance,LogisticRegression,DecisionTree,0,0.7027267541357672,0.5343525385054193,0.16837421563034793,0.0,0.0
42,baseline_stats,2,41824,FOREX_eurgbp-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5144095835710211,0.5144095835710211,0.0,1.0,1.0
42,baseline_stats,2,41833,FOREX_cadjpy-hour-High,finance,LogisticRegression,DecisionTree,0,0.6960638904734741,0.518220193953223,0.177843696520251,0.0,0.0
42,baseline_stats,2,41835,FOREX_euraud-hour-High,finance,LogisticRegression,LogisticRegression,1,0.6929606389047347,0.6929606389047347,0.0,1.0,1.0
42,baseline_stats,2,41832,FOREX_nzdusd-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.509184255561894,0.509184255561894,0.0,1.0,1.0
42,baseline_stats,2,41856,FOREX_eurdkk-hour-High,finance,LogisticRegression,DecisionTree,0,0.6451340559041643,0.514500855675984,0.13063320022818026,0.0,0.0
42,baseline_stats,2,41782,FOREX_usdjpy-hour-Close,finance,LogisticRegression,LogisticRegression,1,0.5168739304050199,0.5168739304050199,0.0,1.0,1.0
42,baseline_stats,2,41805,FOREX_eurrub-hour-High,finance,LogisticRegression,DecisionTree,0,0.7108499714774672,0.6769423844837422,0.03390758699372498,0.0,0.0
42,baseline_stats,2,251,BNG(breast-w),other,LogisticRegression,DecisionTree,0,0.9792461130711668,0.9766295529542666,0.0026165601169002572,0.0,1.0
42,baseline_stats,2,46371,Customer_Churn_Classification_Nominal,social,LogisticRegression,LogisticRegression,1,0.8343142857142857,0.8343142857142857,0.0,1.0,1.0
42,baseline_stats,2,46548,dataset_default_of_credit_card_clients,finance,LogisticRegression,LogisticRegression,1,0.8109666666666667,0.8109666666666667,0.0,1.0,1.0
42,baseline_stats,2,45037,BitcoinHeist_Ransomware,biology,DecisionTree,DecisionTree,1,0.8177158999192897,0.8177158999192897,0.0,1.0,1.0
42,baseline_stats,2,821,house_16H,other,DecisionTree,LogisticRegression,0,0.8399755472723515,0.8269399912107357,0.013035556061615772,0.0,0.0
42,baseline_stats,2,6,letter,image,DecisionTree,DecisionTree,1,0.87645,0.87645,0.0,1.0,1.0
42,baseline_stats,2,1040,sylva_prior,education,LogisticRegression,LogisticRegression,1,0.9947898575894408,0.9947898575894408,0.0,1.0,1.0
42,baseline_stats,2,45060,online_shoppers,other,LogisticRegression,LogisticRegression,1,0.8832927818329279,0.8832927818329279,0.0,1.0,1.0
42,baseline_stats,2,310,mammography,other,LogisticRegression,LogisticRegression,1,0.9837250486412048,0.9837250486412048,0.0,1.0,1.0
42,baseline_stats,2,4534,PhishingWebsites,biology,DecisionTree,DecisionTree,1,0.9626413387607416,0.9626413387607416,0.0,1.0,1.0
42,baseline_stats,2,46868,Phishing_Legitimate_full,finance,MLP,LogisticRegression,0,0.9774,0.9442,0.03320000000000001,0.0,0.0
42,baseline_stats,2,46911,Bank_Customer_Churn,social,MLP,LogisticRegression,0,0.8583000000000001,0.8084,0.049900000000000055,0.0,0.0
42,baseline_stats,2,4538,GesturePhaseSegmentationProcessed,biology,KNN,MLP,0,0.5842205378784964,0.5599123286265758,0.024308209251920565,0.0,0.0
42,baseline_stats,2,46281,insurance_company,finance,SVM,SVM,1,0.9403380440809896,0.9403380440809896,0.0,1.0,1.0
42,baseline_stats,2,725,bank8FM,finance,SVM,MLP,0,0.945678631584672,0.9453127037019656,0.0003659278827063961,0.0,1.0
42,baseline_stats,2,816,puma8NH,other,MLP,MLP,1,0.8287358428298026,0.8287358428298026,0.0,1.0,1.0
42,baseline_stats,2,60,waveform-5000,biology,LogisticRegression,LogisticRegression,1,0.8652,0.8652,0.0,1.0,1.0
42,baseline_stats,2,46925,Employee,social,KNN,DecisionTree,0,0.8095815575805874,0.7986193594585541,0.010962198122033251,0.0,0.0
42,baseline_stats,2,44095,spambase_reproduced,biology,MLP,LogisticRegression,0,0.9450129821082944,0.9245838644195816,0.020429117688712806,0.0,0.0
42,baseline_stats,2,44,spambase,biology,MLP,LogisticRegression,0,0.9450129821082944,0.9245838644195816,0.020429117688712806,0.0,0.0
42,baseline_stats,2,47153,spam,text,MLP,LogisticRegression,0,0.9450129821082944,0.9245838644195816,0.020429117688712806,0.0,0.0
42,baseline_stats,2,43925,eucalyptus,other,DecisionTree,MLP,0,0.7878045661954498,0.6949841640228976,0.09282040217255216,0.0,0.0
42,baseline_stats,2,41946,Sick_numeric,text,DecisionTree,LogisticRegression,0,0.9790598485780034,0.9551959527113671,0.023863895866636287,0.0,0.0
42,baseline_stats,2,40708,allrep,other,DecisionTree,LogisticRegression,0,0.981973053208495,0.9668607163560348,0.015112336852460273,0.0,0.0
42,baseline_stats,2,40713,dis,other,DecisionTree,LogisticRegression,0,0.9854192211077344,0.9846238164667028,0.0007954046410315607,0.0,1.0
42,baseline_stats,2,46764,football-player-position,other,MLP,LogisticRegression,0,0.8363287012026681,0.8341122515833153,0.002216449619352856,0.0,1.0
42,baseline_stats,2,953,splice,other,DecisionTree,MLP,0,0.9275862068965518,0.8789968652037619,0.048589341692789945,0.0,0.0
42,baseline_stats,2,46737,agriculture_dataset_karnataka,biology,DecisionTree,MLP,0,0.7352644987863347,0.4521805853678108,0.2830839134185239,0.0,0.0
42,baseline_stats,2,737,space_ga,other,LogisticRegression,MLP,0,0.8374631726651858,0.8139692747409789,0.023493897924206864,0.0,0.0
42,baseline_stats,2,45059,sick,health,MLP,LogisticRegression,0,0.9323214378473844,0.9310321541738092,0.00128928367357517,0.0,1.0
42,baseline_stats,2,42530,Midwest_Survey,social,KNN,LogisticRegression,0,0.3452245857176199,0.2758682022679898,0.06935638344963008,0.0,0.0
42,baseline_stats,2,43980,wine,finance,DecisionTree,MLP,0,0.761153447680442,0.7294470664978321,0.03170638118260993,0.0,0.0
42,baseline_stats,2,316,yeast_ml8,biology,SVM,MLP,0,0.9859333025340932,0.9851060007186488,0.0008273018154443257,0.0,1.0
42,baseline_stats,2,46930,hazelnut-spread-contaminant-detection,biology,MLP,SVM,0,0.9158333333333336,0.8420833333333334,0.0737500000000002,0.0,0.0
42,baseline_stats,2,46863,Fetal_cardiotocography_dataset,health,DecisionTree,LogisticRegression,0,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,2,46597,Estimation_of_Obesity_Levels,health,DecisionTree,LogisticRegression,0,0.9355842380648268,0.8754081095313323,0.06017612853349452,0.0,0.0
42,baseline_stats,2,44415,MiniBooNE_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,LogisticRegression,0,0.9075,0.8399999999999999,0.06750000000000012,0.0,0.0
42,baseline_stats,2,1020,mfeat-karhunen,image,MLP,MLP,1,0.9965,0.9965,0.0,1.0,1.0
42,baseline_stats,2,44433,electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,sensor_signal,MLP,MLP,1,0.7625,0.7625,0.0,1.0,1.0
42,baseline_stats,2,18,mfeat-morphological,image,LogisticRegression,MLP,0,0.7430000000000001,0.7285,0.014500000000000068,0.0,0.0
42,baseline_stats,2,995,mfeat-zernike,image,LogisticRegression,LogisticRegression,1,0.9955,0.9955,0.0,1.0,1.0
42,baseline_stats,2,44668,GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,biology,MLP,MLP,1,0.5025000000000001,0.5025000000000001,0.0,1.0,1.0
42,baseline_stats,2,971,mfeat-fourier,image,SVM,MLP,0,0.9995,0.9975000000000002,0.0019999999999998908,0.0,1.0
